Date,TOTALSA,TOTALSArate
2015-08-01,18.44,0.006879982527028483
2015-09-01,18.232,-0.011279826464208331
2015-10-01,18.202,-0.0016454585344447548
2015-11-01,18.316,0.006263048016701411
2015-12-01,17.441,-0.04777243939724829
2016-01-01,18.091,0.03726850524625891
2016-02-01,18.025,-0.0036482228732520605
2016-03-01,17.328,-0.03866851595006926
2016-04-01,17.715,0.022333795013850466
2016-05-01,17.758,0.0024273214789725106
2016-06-01,17.73,-0.0015767541389795081
2016-07-01,18.108,0.02131979695431463
2016-08-01,17.899,-0.011541859951402667
2016-09-01,17.961,0.0034638806637241615
2016-10-01,17.856,-0.0058459996659426805
2016-11-01,17.748,-0.006048387096774244
2016-12-01,18.18,0.024340770791074995
2017-01-01,17.665,-0.02832783278327833
2017-02-01,17.773,0.006113784319275339
2017-03-01,17.097,-0.038035221965903254
2017-04-01,17.281,0.010762122009709163
2017-05-01,17.254,-0.0015624095827786455
2017-06-01,17.209,-0.00260809087747782
2017-07-01,17.18,-0.001685164739380518
2017-08-01,17.016,-0.009545983701979122
2017-09-01,18.381,0.0802186177715094
2017-10-01,18.198,-0.009955932756650854
2017-11-01,17.862,-0.01846356742499189
2017-12-01,17.697,-0.009237487403426226
2018-01-01,17.552,-0.008193479120754854
2018-02-01,17.555,0.00017092069279844857
2018-03-01,17.695,0.007974935915693537
2018-04-01,17.774,0.004464538005086283
2018-05-01,17.778,0.00022504782266219436
2018-06-01,17.701,-0.004331195860051595
2018-07-01,17.384,-0.017908592734873774
2018-08-01,17.361,-0.0013230556833869755
2018-09-01,17.842,0.027705777316974656
2018-10-01,17.999,0.008799461943728382
2018-11-01,17.88,-0.006611478415467498
2018-12-01,17.886,0.0003355704697987072
2019-01-01,17.237,-0.0362853628536286
2019-02-01,17.026,-0.012241109241747372
2019-03-01,17.773,0.043874074944203034
2019-04-01,17.048,-0.040792212907218905
2019-05-01,17.932,0.05185358986391364
2019-06-01,17.705,-0.012658933749721157
2019-07-01,17.443,-0.014798079638519979
2019-08-01,17.512,0.0039557415582180955
2019-09-01,17.723,0.01204888076747368
2019-10-01,17.046,-0.03819895051627831
2019-11-01,17.548,0.029449724275489864
2019-12-01,17.197,-0.020002279462046912
2020-01-01,,
2020-02-01,,
2020-03-01,,
